z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
23.4	339.81	10547	0.00030912	0.00037091	6.4514e-131	7.4604e-132	0.28129	1.5807e-10	29.219	18.613	1.6268	0.036121	2.5688e-07	2.7062e-10	0.0032935	48.454	77.008	0.0013695	393.73	0.070015	5.4625	0.09402	0.13856	3.2821e-320	5.815	3.1623e-05	8.6316	0.30028	0.0024903	2.868	6.4772e-321	1.007	8.6707e-09	1.1339e-320	252.78	560.89	0.03062
23.5	339.74	10545	0.00030922	0.00037111	1.7932e-131	2.0438e-132	0.28129	1.5807e-10	28.77	18.604	1.6263	0.036288	2.6359e-07	2.7537e-10	0.0032937	47.921	77.002	0.0013696	393.77	0.070282	5.4766	0.093879	0.13867	3.2821e-320	5.815	3.1623e-05	8.5762	0.30029	0.0024905	2.8681	6.4871e-321	1.0069	8.7129e-09	1.1368e-320	252.74	561.89	0.030668
23.6	339.67	10542	0.00030932	0.0003713	4.9843e-132	5.5993e-133	0.28128	1.5807e-10	28.332	18.595	1.6257	0.036454	2.7036e-07	2.8018e-10	0.003294	47.398	76.997	0.0013698	393.82	0.070546	5.4905	0.09374	0.13878	3.2821e-320	5.815	3.1623e-05	8.5218	0.3003	0.0024907	2.8681	6.5019e-321	1.0069	8.7546e-09	1.1398e-320	252.71	562.88	0.030714
23.7	339.6	10539	0.00030942	0.0003715	1.3854e-132	1.534e-133	0.28128	1.5806e-10	27.902	18.586	1.6252	0.03662	2.7717e-07	2.8503e-10	0.0032942	46.885	76.991	0.0013699	393.86	0.070806	5.5042	0.093604	0.13888	3.2821e-320	5.815	3.1623e-05	8.4685	0.30031	0.0024909	2.8682	6.5068e-321	1.0068	8.7958e-09	1.1428e-320	252.68	563.85	0.030761
23.8	339.54	10537	0.00030952	0.00037168	3.8508e-133	4.2025e-134	0.28127	1.5806e-10	27.483	18.577	1.6247	0.036786	2.8403e-07	2.8993e-10	0.0032945	46.382	76.985	0.0013701	393.9	0.071063	5.5177	0.093469	0.13898	3.2821e-320	5.815	3.1623e-05	8.4162	0.30032	0.0024911	2.8683	6.5217e-321	1.0068	8.8364e-09	1.1452e-320	252.64	564.81	0.030806
23.9	339.48	10534	0.00030961	0.00037187	1.0703e-133	1.1513e-134	0.28127	1.5806e-10	27.072	18.568	1.6241	0.036952	2.9094e-07	2.9488e-10	0.0032947	45.888	76.98	0.0013702	393.94	0.071317	5.531	0.093337	0.13909	3.2821e-320	5.815	3.1623e-05	8.3649	0.30033	0.0024913	2.8684	6.5365e-321	1.0067	8.8765e-09	1.1487e-320	252.61	565.75	0.030851
24	339.41	10532	0.00030971	0.00037205	2.9751e-134	3.1541e-135	0.28126	1.5806e-10	26.671	18.559	1.6236	0.037119	2.9788e-07	2.9987e-10	0.0032949	45.404	76.974	0.0013704	393.98	0.071567	5.5442	0.093206	0.13919	3.2821e-320	5.815	3.1623e-05	8.3146	0.30034	0.0024915	2.8685	6.5464e-321	1.0067	8.916e-09	1.1512e-320	252.57	566.68	0.030895
24.1	339.35	10529	0.0003098	0.00037222	8.2694e-135	8.641e-136	0.28126	1.5805e-10	26.279	18.551	1.6231	0.037285	3.0486e-07	3.0491e-10	0.0032951	44.929	76.969	0.0013705	394.02	0.071814	5.5571	0.093078	0.13928	3.2821e-320	5.815	3.1623e-05	8.2652	0.30035	0.0024917	2.8686	6.5563e-321	1.0066	8.955e-09	1.1541e-320	252.54	567.59	0.030938
24.2	339.29	10527	0.00030989	0.00037239	2.2985e-135	2.3673e-136	0.28125	1.5805e-10	25.896	18.543	1.6227	0.037451	3.1186e-07	3.0999e-10	0.0032953	44.463	76.963	0.0013706	394.06	0.072057	5.5699	0.092952	0.13938	3.2821e-320	5.815	3.1623e-05	8.2169	0.30036	0.0024919	2.8687	6.576e-321	1.0066	8.9934e-09	1.1576e-320	252.5	568.49	0.030981
24.3	339.23	10524	0.00030998	0.00037256	6.3888e-136	6.4853e-137	0.28125	1.5805e-10	25.522	18.534	1.6222	0.037618	3.189e-07	3.1511e-10	0.0032955	44.007	76.958	0.0013708	394.09	0.072297	5.5824	0.092828	0.13947	3.2821e-320	5.815	3.1623e-05	8.1695	0.30036	0.002492	2.8688	6.5908e-321	1.0065	9.0313e-09	1.1611e-320	252.47	569.38	0.031023
