Oxygen	OMA	OMB	NO3	FeOH3	SO4	NH4	Fe2	FeOOH	H2S	HS	FeS	S0	PO4	S8	FeS2	AlOH3	PO4adsa	PO4adsb	Ca2	Ca3PO4	OMS	OH	CO2	CO3	HCO3	NH3	H	H2CO3
0.07641666	5.47E-10	0.020940029	0.154029357	11.30746063	0.638000003	1.39E-08	4.15E-10	0	1.17E-11	1.12E-11	0	1.44E-10	4.27E-07	3.52E-11	0	2.26153785	4.13E-05	0	0.039999999	1.99E-08	3.29E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.77E-11	0.135974109	0.016932128
0.076796125	3.91E-10	0.020757377	0.154029547	11.30745993	0.638000003	1.38E-08	4.08E-10	0	1.15E-11	1.10E-11	0	1.45E-10	4.25E-07	3.61E-11	0	2.261537844	4.17E-05	0	0.039999999	1.99E-08	3.32E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.73E-11	0.135974109	0.016932128
0.077150276	2.79E-10	0.020576979	0.154029723	11.30745933	0.638000003	1.36E-08	4.01E-10	0	1.13E-11	1.08E-11	0	1.47E-10	4.24E-07	3.70E-11	0	2.261537838	4.21E-05	0	0.039999998	2.00E-08	3.34E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.69E-11	0.135974109	0.016932128
0.077478976	1.98E-10	0.020399091	0.154029886	11.30745884	0.638000003	1.35E-08	3.94E-10	0	1.10E-11	1.06E-11	0	1.48E-10	4.22E-07	3.79E-11	0	2.261537832	4.25E-05	0	0.039999998	2.00E-08	3.36E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.61E-11	0.135974109	0.016932128
0.077782089	1.40E-10	0.02022415	0.154030036	11.30745844	0.638000003	1.34E-08	3.88E-10	0	1.08E-11	1.04E-11	0	1.49E-10	4.20E-07	3.88E-11	0	2.261537826	4.29E-05	0	0.039999998	2.00E-08	3.38E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.56E-11	0.135974109	0.016932128
0.078059479	9.84E-11	0.020052779	0.154030174	11.30745814	0.638000003	1.33E-08	3.82E-10	0	1.06E-11	1.02E-11	0	1.50E-10	4.19E-07	3.97E-11	0	2.26153782	4.33E-05	0	0.039999998	2.00E-08	3.40E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.52E-11	0.135974109	0.016932128
0.078311015	6.90E-11	0.019885804	0.154030298	11.30745792	0.638000003	1.32E-08	3.76E-10	0	1.05E-11	1.00E-11	0	1.51E-10	4.18E-07	4.06E-11	0	2.261537815	4.36E-05	0	0.039999998	2.00E-08	3.41E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.48E-11	0.135974109	0.016932128
0.078536566	4.81E-11	0.019724294	0.154030409	11.30745777	0.638000003	1.31E-08	3.71E-10	0	1.04E-11	9.91E-12	0	1.52E-10	4.17E-07	4.14E-11	0	2.26153781	4.40E-05	0	0.039999998	1.99E-08	3.43E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.44E-11	0.135974109	0.016932128
0.078736005	3.34E-11	0.019569608	0.154030507	11.30745768	0.638000003	1.30E-08	3.67E-10	0	1.02E-11	9.77E-12	0	1.53E-10	4.16E-07	4.22E-11	0	2.261537805	4.43E-05	0	0.039999998	1.99E-08	3.44E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.40E-11	0.135974109	0.016932128
0.078909211	2.31E-11	0.019423468	0.154030592	11.30745764	0.638000003	1.29E-08	3.63E-10	0	1.02E-11	9.71E-12	0	1.54E-10	4.15E-07	4.29E-11	0	2.2615378	4.46E-05	0	0.039999998	1.99E-08	3.45E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.36E-11	0.135974109	0.016932128
0.079056065	1.59E-11	0.019288052	0.154030664	11.30745765	0.638000003	1.28E-08	3.59E-10	0	1.00E-11	9.58E-12	0	1.55E-10	4.14E-07	4.36E-11	0	2.261537796	4.49E-05	0	0.039999998	1.98E-08	3.46E-12	0.073543412	9.960075071	2.19E-05	0.062386847	5.32E-11	0.135974109	0.016932128
0.079176453	1.10E-11	0.019166125	0.154030723	11.30745768	0.638000003	1.27E-08	3.56E-10	0	9.95E-12	9.51E-12	0	1.55E-10	4.13E-07	4.43E-11	0	2.261537792	4.52E-05	0	0.039999998	1.98E-08	3.46E-12	0.073543412	9.960075071	2.19E-05	0.062386847	5.28E-11	0.135974109	0.016932128
0.079270265	7.60E-12	0.019061198	0.154030768	11.30745773	0.638000003	1.27E-08	3.53E-10	0	9.88E-12	9.45E-12	0	1.55E-10	4.13E-07	4.48E-11	0	2.261537789	4.54E-05	0	0.039999998	1.97E-08	3.47E-12	0.073543412	9.960075071	2.19E-05	0.062386847	5.24E-11	0.135974109	0.016932128
0.079337398	5.40E-12	0.018977741	0.154030801	11.30745778	0.638000003	1.27E-08	3.51E-10	0	9.88E-12	9.45E-12	0	1.56E-10	4.12E-07	4.52E-11	0	2.261537786	4.56E-05	0	0.039999998	1.97E-08	3.47E-12	0.073543412	9.960075071	2.19E-05	0.062386847	5.24E-11	0.135974109	0.016932128
0.079377751	4.11E-12	0.01892145	0.154030821	11.30745782	0.638000003	1.27E-08	3.50E-10	0	9.88E-12	9.45E-12	0	1.56E-10	4.12E-07	4.55E-11	0	2.261537784	4.57E-05	0	0.039999998	1.97E-08	3.48E-12	0.073543412	9.960075071	2.19E-05	0.062386847	5.24E-11	0.135974109	0.016932128
0.079391232	3.65E-12	0.018899594	0.154030827	11.30745783	0.638000003	1.27E-08	3.50E-10	0	9.88E-12	9.45E-12	0	1.56E-10	4.12E-07	4.56E-11	0	2.261537784	4.58E-05	0	0.039999998	1.97E-08	3.48E-12	0.073543412	9.960075071	2.19E-05	0.062386847	5.24E-11	0.135974109	0.016932128
